Country,Cases,Deaths,Region
United,States,"52,510,978","833,029",North,America
India,"34,765,976","478,759",Asia
Brazil,"22,222,928","618,128",South,America
United,Kingdom,"11,647,473","147,573",Europe
Russia,"10,292,983","300,269",Europe
Turkey,"9,228,835","80,957",Asia
France,"8,798,028","122,116",Europe
Germany,"6,915,353","110,234",Europe
Iran,"6,177,885","131,211",Asia
Spain,"5,645,095","88,937",Europe
Italy,"5,472,469","136,077",Europe
Argentina,"5,415,501","116,964",South,America
Colombia,"5,112,719","129,586",South,America
Indonesia,"4,261,072","144,034",Asia
Poland,"4,000,270","92,829",Europe
Mexico,"3,940,401","298,359",North,America
Ukraine,"3,630,391","94,184",Europe
South,Africa,"3,353,106","90,587",Africa
Netherlands,"3,014,805","20,581",Europe
Philippines,"2,837,784","50,916",Asia
Malaysia,"2,728,203","31,221",Asia
Czech,Republic,(Czechia),"2,435,208","35,585",Europe
Peru,"2,269,497","202,375",South,America
Thailand,"2,202,001","21,501",Asia
Iraq,"2,091,522","24,095",Asia
Belgium,"2,017,154","27,992",Europe
Canada,"1,924,261","30,113",North,America
Romania,"1,800,306","58,382",Europe
Chile,"1,794,750","38,900",South,America
Japan,(+Diamond,Princess),"1,731,314","18,396",Asia
Vietnam,"1,588,335","30,251",Asia
Bangladesh,"1,581,986","28,052",Asia
Israel,"1,359,174","8,239",Asia
Pakistan,"1,292,406","28,894",Asia
Serbia,"1,286,025","12,488",Europe
Sweden,"1,268,254","15,224",Europe
Austria,"1,256,230","13,567",Europe
Portugal,"1,242,545","18,823",Europe
Hungary,"1,233,744","38,167",Europe
Switzerland,"1,210,036","12,072",Europe
Greece,"1,049,936","20,126",Europe
Jordan,"1,045,714","12,329",Asia
Kazakhstan,"984,556","12,957",Asia
Cuba,"964,317","8,317",North,America
Morocco,"953,724","14,817",Africa
Georgia,"916,477","13,221",Asia
Nepal,"826,423","11,579",Asia
Slovakia,"816,102","16,198",Europe
United,Arab,Emirates,"745,555","2,154",Asia
Bulgaria,"730,140","30,359",Europe
Tunisia,"721,797","25,491",Africa
Lebanon,"705,477","8,980",Asia
Belarus,"687,948","5,432",Europe
Croatia,"682,759","12,126",Europe
Ireland,"672,964","5,890",Europe
Denmark,"653,268","3,158",Europe
Guatemala,"624,544","16,085",North,America
Azerbaijan,"612,205","8,238",Asia
South,Korea,"589,978","5,015",Asia
Sri,Lanka,"581,595","14,811",Asia
Bolivia,"568,967","19,480",South,America
Costa,Rica,"568,860","7,343",North,America
Saudi,Arabia,"551,462","8,867",Asia
Ecuador,"538,218","33,624",South,America
Myanmar,"528,838","19,235",Asia
Lithuania,"506,144","7,200",Europe
Panama,"484,793","7,405",North,America
Paraguay,"464,895","16,593",South,America
Slovenia,"451,966","5,518",Europe
Venezuela,"442,431","5,306",South,America
State,of,Palestine,"437,326","4,616",Asia
Kuwait,"414,413","2,466",Asia
Dominican,Republic,"412,263","4,223",North,America
Uruguay,"405,681","6,159",South,America
Mongolia,"387,875","2,051",Asia
Libya,"383,445","5,626",Africa
Ethiopia,"382,371","6,880",Africa
Honduras,"378,994","10,429",North,America
Egypt,"377,960","21,500",Africa
Moldova,"373,373","9,557",Europe
Norway,"363,554","1,257",Europe
Armenia,"343,997","7,921",Asia
Oman,"304,938","4,113",Asia
Bosnia,and,Herzegovina,"286,276","13,224",Europe
Bahrain,"278,875","1,394",Asia
Singapore,"276,720",818,Asia
Australia,"273,075","2,173",Australia/Oceania
Kenya,"270,899","5,355",Africa
Latvia,"269,204","4,477",Europe
Qatar,"247,082",614,Asia
Estonia,"234,092","1,895",Europe
Nigeria,"231,413","2,991",Africa
Finland,"224,169","1,501",Europe
North,Macedonia,"222,064","7,853",Europe
Zambia,"221,880","3,685",Africa
Algeria,"215,430","6,205",Africa
Albania,"206,616","3,180",Europe
Botswana,"204,701","2,425",Africa
Zimbabwe,"199,404","4,828",Africa
Uzbekistan,"197,753","1,471",Asia
Kyrgyzstan,"184,356","2,788",Asia
Mozambique,"164,862","1,960",Africa
Montenegro,"161,672","2,381",Europe
Afghanistan,"157,841","7,341",Asia
Cyprus,"147,685",624,Asia
Namibia,"141,045","3,593",Africa
Ghana,"133,555","1,265",Africa
Uganda,"130,178","3,274",Africa
El,Salvador,"121,623","3,812",North,America
Cambodia,"120,434","3,006",Asia
Cameroon,"108,410","1,846",Africa
Rwanda,"102,697","1,345",Africa
Laos,"101,865",288,Asia
China,"100,644","4,636",Asia
Luxembourg,"97,858",906,Europe
Maldives,"94,299",260,Asia
Jamaica,"92,226","2,450",North,America
Trinidad,and,Tobago,"87,052","2,662",North,America
Senegal,"74,223","1,890",Africa
Réunion,"71,795",401,Africa
DR,Congo,"67,298","1,126",Africa
Malawi,"67,278","2,317",Africa
Angola,"67,199","1,741",Africa
Eswatini,"62,890","1,267",Africa
Côte,d'Ivoire,"62,583",706,Africa
Guadeloupe,"56,035",750,North,America
Fiji,"52,706",697,Australia/Oceania
Suriname,"51,518","1,186",South,America
Syria,"49,911","2,859",Asia
Martinique,"47,300",769,North,America
Madagascar,"47,295",996,Africa
French,Guiana,"47,012",337,South,America
French,Polynesia,"46,375",636,Australia/Oceania
Sudan,"46,037","3,298",Africa
Malta,"43,073",473,Europe
Mauritania,"40,239",859,Africa
Guyana,"38,966","1,040",South,America
Cabo,Verde,"38,655",351,Africa
Gabon,"38,039",286,Africa
Papua,New,Guinea,"36,040",589,Australia/Oceania
Belize,"31,387",591,North,America
Guinea,"30,888",389,Africa
Barbados,"27,308",256,North,America
Togo,"27,108",246,Africa
Tanzania,"26,483",734,Africa
Lesotho,"26,004",665,Africa
Haiti,"25,941",765,North,America
Benin,"24,935",161,Africa
Seychelles,"24,047",131,Africa
Bahamas,"23,240",713,North,America
Somalia,"23,169","1,333",Africa
Mauritius,"23,020",762,Africa
Burundi,"23,009",38,Africa
Channel,Islands,"22,876",112,Europe
Iceland,"21,587",37,Europe
Andorra,"21,372",138,Europe
Mayotte,"21,288",185,Africa
Timor-Leste,"19,833",122,Asia
Mali,"19,553",648,Africa
Congo,"19,490",367,Africa
Curaçao,"18,082",186,North,America
Nicaragua,"17,442",211,North,America
Tajikistan,"17,095",124,Asia
Aruba,"17,041",180,North,America
Burkina,Faso,"17,040",317,Africa
Taiwan,"16,853",850,Asia
Brunei,"15,426",98,Asia
South,Sudan,"14,002",133,Africa
New,Zealand,"13,648",49,Australia/Oceania
Equatorial,Guinea,"13,618",175,Africa
Djibouti,"13,546",189,Africa
Isle,of,Man,"13,364",67,Europe
Saint,Lucia,"13,209",295,North,America
New,Caledonia,"12,565",280,Australia/Oceania
Hong,Kong,"12,549",213,Asia
Central,African,Republic,"11,961",101,Africa
Yemen,"10,103","1,981",Asia
Gambia,"10,078",342,Africa
Cayman,Islands,"8,245",9,North,America
Gibraltar,"7,954",100,Europe
Eritrea,"7,817",70,Africa
Niger,"7,237",273,Africa
San,Marino,"7,160",96,Europe
Sierra,Leone,"6,573",121,Africa
Dominica,"6,520",44,North,America
Guinea-Bissau,"6,458",149,Africa
Grenada,"5,933",200,North,America
Liberia,"5,929",287,Africa
Bermuda,"5,917",106,North,America
St.,Vincent,&,Grenadines,"5,810",79,North,America
Liechtenstein,"5,761",68,Europe
Chad,"5,701",181,Africa
Comoros,"4,952",152,Africa
Faeroe,Islands,"4,892",13,Europe
Sint,Maarten,"4,735",75,North,America
Monaco,"4,537",37,Europe
Antigua,and,Barbuda,"4,205",117,North,America
Saint,Martin,"4,008",56,North,America
Sao,Tome,&,Principe,"3,737",57,Africa
Caribbean,Netherlands,"3,236",22,North,America
Turks,and,Caicos,"3,208",26,North,America
British,Virgin,Islands,"2,886",39,North,America
Saint,Kitts,&,Nevis,"2,815",28,North,America
Bhutan,"2,659",3,Asia
Greenland,"2,182",0,North,America
Anguilla,"1,629",5,North,America
Saint,Barthelemy,"1,621",6,North,America
Wallis,&,Futuna,454,7,Australia/Oceania
Saint,Pierre,&,Miquelon,96,0,North,America
Falkland,Islands,83,0,South,America
Macao,77,0,Asia
Montserrat,45,1,North,America
Holy,See,27,0,Europe
Solomon,Islands,20,0,Australia/Oceania
Western,Sahara,10,1,Africa
MS,Zaandam,9,2
Palau,8,0,Australia/Oceania
Vanuatu,7,1,Australia/Oceania
Marshall,Islands,4,0,Australia/Oceania
Samoa,3,0,Australia/Oceania
Saint,Helena,2,0,Africa
Tonga,1,0,Australia/Oceania
Micronesia,1,0,Australia/Oceania
